"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"84","S4","S9",0,0,0.295346388969213,0.181896392841033,0.181896392841033,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"85","S5","S9",0,0,0,0.120964500654006,0.120964500654006,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"86","S6","S9",0,0,0.295577299148442,0.17017603132567,0.17017603132567,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"87","S7","S9",0,0,0.332509259200749,0.447644092245638,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"88","S8","S9",0,0,0,0.933557900208888,0.933557900208888,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"91","S1","S10",0.859230769230769,0.859230769230769,0,0.993355593593736,0.993355593593736,1,0,0,0,0,1,1,0,0,"HabSubsmpl_25"
"92","S2","S10",0,0,0.353855047104418,1.14614600070197,1.14614600070197,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"93","S3","S10",0.948461538461538,0.948461538461538,-0.347245825347145,0.99881387518212,0.99881387518212,1,0,1,0,0,1,1,0,0,"HabSubsmpl_25"
"94","S4","S10",0.953076923076923,0.953076923076923,-0.465943936205529,1.05797756638546,1.05797756638546,1,0,1,0,0,1,1,0,0,"HabSubsmpl_25"
"95","S5","S10",0.678461538461538,0,0,1.04972207224408,1.04972207224408,0,0,0,0,0,1,1,0,0,"HabSubsmpl_25"
"96","S6","S10",0,0,0.193783588043214,1.19943426735925,1.19943426735925,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"97","S7","S10",0,0,0.459919962987479,0.966157731384435,0.966157731384435,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"98","S8","S10",0.11,0,0,1.2336142161803,1.2336142161803,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"99","S9","S10",0,0,0.382484504721455,1.14367464107238,1.14367464107238,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"111","S1","S2",0,0,0,0.559470032743703,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"211","S1","S3",-0.628521839106049,0,0.311700140307404,0.457157668316283,0,0,0,0,1,0,0,0,1,1,"HabSubsmpl_25"
"221","S2","S3",0,0,0.103340429272473,0.768096930472651,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"311","S1","S4",0.351538461538462,0,0.450213127513399,0.151664799983701,0.151664799983701,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"321","S2","S4",0,0,0,0.629353286442431,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"331","S3","S4",0.327650482541499,0,0.1518703752054,0.311340255128503,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"411","S1","S5",0.632307692307692,0,-0.1321816780484,0.356965713328273,0,0,0,1,0,0,0,0,0,1,"HabSubsmpl_25"
"421","S2","S5",0,0,0.161400917793054,0.202773221165625,0.202773221165625,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"431","S3","S5",0.0220533978633702,0,0,0.610097903317907,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"441","S4","S5",0.875384615384615,0.875384615384615,0,0.431720174183838,0,1,0,0,0,0,0,1,0,1,"HabSubsmpl_25"
"511","S1","S6",0.84,0.84,0,0.514883326686922,0,1,0,0,0,0,0,1,0,1,"HabSubsmpl_25"
"521","S2","S6",0,0,0.119053408431399,0.184983226919736,0.184983226919736,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"531","S3","S6",-0.709646838389161,-0.709646838389161,0.412477122773083,0.828872395649442,0.828872395649442,0,1,0,1,0,1,0,1,1,"HabSubsmpl_25"
"541","S4","S6",0.1,0,0,0.623276156049949,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"551","S5","S6",0.492307692307692,0,0,0.220065764875564,0.220065764875564,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"611","S1","S7",-0.56525517849529,0,0.135483029004586,0.906312888251176,0.906312888251176,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"621","S2","S7",0,0,0,0.575364525945726,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"631","S3","S7",0.314685965391219,0,0,0.785112122969391,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
