"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"741","S4","S8",-0.45125886352983,0,0.1961272260055,0.999423305173462,0.999423305173462,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"751","S5","S8",-0.117959562152505,0,0,0.596841043456616,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"761","S6","S8",-0.55068218898196,0,0.32614603052964,0.404701801190766,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"771","S7","S8",0.414967295113505,0,0,0.386282579482624,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"811","S1","S9",-0.0712137286705019,0,0,0.519874469817888,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"821","S2","S9",-0.421313343813654,0,0.333779734088559,0.637929259136121,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"831","S3","S9",-0.261748554070798,0,0.499307832848037,0.368913305226853,0.368913305226853,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"841","S4","S9",0.558452947287078,0,0,1.07168062729939,1.07168062729939,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"851","S5","S9",0.512126200222431,0,0,0.515753446426891,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"861","S6","S9",0.0220698612201347,0,0.116045252359527,0.549163099588012,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"871","S7","S9",-0.0913121201726818,0,0,0.21443433148173,0.21443433148173,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"881","S8","S9",-0.249690744026798,0,0,0.179640405774881,0.179640405774881,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"911","S1","S10",-0.00693374422187981,0,0,0.551610230741945,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"921","S2","S10",0.917470725884062,0.917470725884062,-0.487118175556973,0.648667312873742,0,1,0,1,0,0,0,0,0,1,"HabSubsmpl_25"
"931","S3","S10",-0.464960810763106,0,0,0.394803455029201,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"941","S4","S10",-0.513611001928364,0,0.154124115150315,1.09588626795982,1.09588626795982,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"951","S5","S10",-0.438654132572382,0,0.208278802449373,0.515643373060359,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"961","S6","S10",0.00347634251037836,0,0,0.573233815627719,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"971","S7","S10",0.213667023114944,0,0,0.189075013389586,0.189075013389586,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"981","S8","S10",0.0619826859846954,0,0,0.212750457510192,0.212750457510192,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"991","S9","S10",-0.435108056492298,0,0,0.0342462405643784,0.0342462405643784,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
