,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
24,0.31776624262682174,0.31777620711540555,0.35609622292660353,0.3945553374185486,0.32393498176468566,0.33508492996483685,0.2936922132211348,0.2924086591014147,0.2850844648665221,0.38645901735722477,0,0,H25,25
0,0.2433300134393765,0.29493040841153095,0.17287456393811745,0.2656874077479219,0.3432529947040157,0.2704344400517976,0.3376252908063776,0.39757367704516877,0.25838941524925607,0.29637545525165804,1,0,H1,1
1,0.17198843132114203,0.1617945686813852,0.18797370836778124,0.16754398539480228,0.1512992427048265,0.166581486761781,0.15247589756051302,0.13999385020704438,0.1687544924491889,0.16115150596062058,1,0,H2,2
2,0.2846689214697927,0.2644113949187707,0.3739390053140194,0.2750672861482901,0.21714743012048643,0.27246717310194535,0.22129107121199473,0.17870523218146162,0.27103827821852955,0.25318313364810624,1,0,H3,3
3,0.11168133863163375,0.13249937249341992,0.001,0.12091133368746144,0.15920046566266371,0.12301407612277446,0.15643737598826657,0.18547513224614356,0.11972270603258983,0.1357974132422218,1,0,H4,4
4,0.3173584963314248,0.2544746936321954,0.18268965061762013,0.2930633540402089,0.29685954201485976,0.2899145548866396,0.29679416831191724,0.29192895640622324,0.3266341850816613,0.29087394763426283,1,0,H5,5
5,0.18936396523716367,0.1904589793684318,0.1812541106733717,0.18992692995206126,0.1945221042111193,0.19010674037842246,0.1941950058425392,0.19751256129747188,0.19051223391780683,0.1916342448836495,1,0,H6,6
6,0.15563153480737021,0.15833643221003008,0.14982178404258406,0.15683183385235777,0.16184145070237663,0.15710597435962328,0.16147999823265077,0.16527694824873534,0.15668610159975685,0.15877841227335462,1,0,H7,7
7,0.149752996379502,0.24361525191023464,0.3170889492832606,0.1864672898500381,0.19581480265215206,0.19156983672763925,0.19485514217312033,0.21252995751685724,0.14012660949992486,0.19511166770886956,1,0,H8,8
8,0.2081930224749679,0.2785974870635377,0.11495317962261019,0.23865915084857764,0.34320212259564437,0.24510152630268153,0.33561434447046384,0.4165150703824426,0.22837817129971463,0.28006891745742135,1,0,H9,9
9,0.12824902199430732,0.2014156378173994,0.3052974752885261,0.15624449192069265,0.1427507967816801,0.15966481708240807,0.1434660248562203,0.14283160695016792,0.1149060565071621,0.1555415538626348,1,0,H10,10
10,0.2344057746031565,0.182999601164711,0.22654772067081483,0.21317696773393063,0.1707009421918617,0.2093808059565592,0.17385709437724386,0.138268280436805,0.22918095770359884,0.19506535027832747,1,0,H11,11
11,0.20070270450300176,0.25185757677177456,0.30355507403728177,0.22055601436853456,0.22045433390665922,0.2231975808989307,0.22029721503838015,0.22632623763028506,0.19399626776246373,0.22340649785307515,1,0,H12,12
12,0.2902903905506062,0.19647583027038398,0.14209763661022776,0.2533397184800243,0.23549992765054173,0.24801193979717825,0.23705744207798168,0.21349848256909892,0.29752427618683763,0.24165697236114303,1,0,H13,13
13,0.11706130666249291,0.22430214939096993,0.19846230514446497,0.16047779162116563,0.2201054341343708,0.16762002764754694,0.21556219596268217,0.26970408485490066,0.11981684081508123,0.1878823494661237,1,0,H14,14
14,0.19778016051660877,0.23789782901273424,0.11867312436520926,0.21548790857107358,0.286640219493797,0.21946942236717654,0.28150099974653786,0.335632285957553,0.21253645278195119,0.24323135981532407,1,0,H15,15
15,0.19692073737916257,0.2323540528476512,0.21260326713201758,0.21141597730103973,0.23611678952500662,0.2139098777719591,0.23426362318503816,0.25561986084301097,0.19923596536399585,0.22226092408525205,1,0,H16,16
16,0.2654196706764562,0.34684738906219303,0.2430338472738694,0.2995123734149341,0.382324882651167,0.30594191880138744,0.37623191469317235,0.44337582571372897,0.2780597017236354,0.33376261578993405,1,0,H17,17
17,0.32086333022031355,0.3938308564235689,0.4174329178775035,0.34985313706679166,0.3720626321165597,0.35422045453336914,0.370264361201888,0.3943682015183437,0.3175787190159138,0.36192417144331424,1,0,H18,18
