,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,savesteps
27,0.0,0.1515786531414074,0.3360019932455057,0.053478666331377926,0.2624896030536702,0.2139179458885548,0.33610595450515673,0.02494353242819297,0.3530810169849762,0.3453574984401167,1350.0
28,0.0,0.15537922219576009,0.33978979216546595,0.05112662505436962,0.25968984378471954,0.21250879048509205,0.33606635128667905,0.021830443555405355,0.35751976865942897,0.3445702954687509,1400.0
29,0.0,0.15896613245047028,0.34324554857228207,0.04885532008918072,0.2570666007825,0.21123525522644013,0.33601522463988137,0.019037719062841987,0.36160298222541437,0.34384654012328403,1450.0
30,0.0,0.16233073572020165,0.3463883580076165,0.04667154382852301,0.25462256557017887,0.21008998744678073,0.33595339523787315,0.016544664084936614,0.3653473318812557,0.34318261200202954,1500.0
31,0.0,0.16547011106054774,0.3492372037295586,0.044580053423082175,0.25235716626976823,0.20906549152519055,0.33588210535700685,0.014329917312370603,0.368770139032369,0.3425750988952189,1550.0
32,0.0,0.1683859583056204,0.3518111045430452,0.04258375411962481,0.2502671218243914,0.20815418571823502,0.3358028688590691,0.012371757853036205,0.37188940514839164,0.3420207090201241,1600.0
33,0.0,0.17108359302148893,0.35412911837745614,0.040683921797607214,0.24834696816182533,0.20734843848682924,0.3357173361406623,0.0106484408440278,0.37472371874653987,0.34151621241981744,1650.0
34,0.0,0.17357106023620794,0.3562102491368727,0.0388804424802118,0.24658954702566196,0.20664060665145353,0.33562718237335437,0.009138530380515273,0.37729207569334433,0.3410584095368179,1700.0
35,0.0,0.17585837175424857,0.35807329543260885,0.037172051847489916,0.24498644958858207,0.20602308273074918,0.3355340209716469,0.007821205748193663,0.37961364854183277,0.3406441218457826,1750.0
36,0.0,0.17795686372866126,0.3597366724194938,0.03555656288508937,0.24352840973182893,0.2054883513980541,0.33543934126424685,0.006676524550346337,0.38170753546521075,0.34027019865406016,1800.0
37,0.0,0.17987866632600102,0.3612182308669979,0.034031074145118675,0.24220564469932826,0.20502905162799043,0.33534446783022454,0.005685633341035138,0.3835925130359197,0.33993353445593805,1850.0
38,0.0,0.18163627478240568,0.3625350908292282,0.03259215451346191,0.24100814322962555,0.20463804000265967,0.3352505382088995,0.0048309223503864625,0.3852868104792958,0.3396310919903068,1900.0
39,0.0,0.18324221012114722,0.363703501158746,0.031236002912215788,0.23992590312222073,0.20430845079500207,0.33515849542088166,0.004096125579822593,0.38680791681144855,0.33935992711584534,1950.0
40,0.0,0.18470875770809628,0.36473873092105363,0.029958583142177517,0.23894912153893322,0.2040337492384577,0.3350690917955878,0.003466370901622307,0.3881724269064966,0.3391172126157817,2000.0
41,0.0,0.18604777227783006,0.3656549946556347,0.02875573523668242,0.23806834224867351,0.20380777544883805,0.33498290087993365,0.0029281869056138462,0.3893959282480007,0.33890025897338,2050.0
42,0.0,0.1872705388282295,0.36646541040591185,0.027623265396516432,0.23727456457023754,0.2036247775512172,0.334900334617536,0.0024694742755311115,0.390492926941701,0.33870653096059866,2100.0
43,0.0,0.18838767970948456,0.36718198741342695,0.02655701692936019,0.2365593190183909,0.20347943354283446,0.3348216634680703,0.0020794496745981834,0.39147680941942486,0.33853365952883335,2150.0
44,0.0,0.18940909923677174,0.3678156391892935,0.025552924727205103,0.23591471467077027,0.203366862220345,0.33474703762868196,0.0017485697090143,0.3923598349967796,0.3383794489784295,2200.0
45,0.0,0.19034395817987598,0.36837621716154717,0.024607055760802354,0.23533346309809036,0.20328262409014305,0.33467650798495024,0.0014684417356343594,0.39315315388102345,0.3382418797242628,2250.0
46,0.0,0.1912006714911844,0.368872560074423,0.02371563791188306,0.23480888338463002,0.2032227135682927,0.3346100458330005,0.0012317272682758173,0.39386684518091974,0.3381191071886311,2300.0
47,0.0,0.19198692359962094,0.36931255462647866,0.02287507924624701,0.2343348923529631,0.2031835439848147,0.3345475607637055,0.0010320426565777994,0.39450996978481795,0.3380094574643916,2350.0
