,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,n_nms,Ridx
12,0.294218014943547,0.30312540332266713,0.299438320187677,0.3110522460695629,0.3304890423478487,0.31019198458377206,0.28249220204771086,0.35513571933885935,0.32426229572931664,0.31373288156086687,0,0,H13,13
13,0.3698941544563486,0.2698710126193339,0.3019801440370852,0.25508023638827876,0.275435767347001,0.33303336942014095,0.2758122218511678,0.22209945435734121,0.25222954413589177,0.3064672958278872,0,0,H14,14
14,0.22670331781166608,0.278069986178831,0.2613459605401792,0.28753807524635083,0.28310387280761456,0.24922817658747642,0.26932401277112006,0.3161308021277143,0.29267213127417996,0.2632039962933775,0,0,H15,15
15,0.19521244758583467,0.16660891572262596,0.1758381963635976,0.16200339037399966,0.16661621666474033,0.18394978004124996,0.1694510189398343,0.1502323583400854,0.160451504104208,0.17628588770306403,0,0,H16,16
16,0.27942031773795317,0.23235210310349078,0.24657136516655628,0.23250296593762698,0.264942991260128,0.27572863157895583,0.21351890279911945,0.26125039345954837,0.24510039355295798,0.26449157826279296,0,0,H17,17
17,0.19480230255036388,0.24852286878332672,0.23109421672482194,0.2579316332757491,0.25170862612081046,0.21741236007340817,0.24087624496393645,0.28476435218967006,0.26233418942426023,0.23194094305943436,0,0,H18,18
18,0.3785456517899277,0.40266195985152836,0.3899565482769806,0.4458678675837918,0.5683982728899082,0.46354627366792744,0.28066048098911883,0.7005843494988299,0.5242564158735169,0.47699889891505004,0,0,H19,19
19,0.2548117231036627,0.23279292627308273,0.23709545636886542,0.2516251827401221,0.3271179724390487,0.2891094830560818,0.1669167468564994,0.3818682674044127,0.29429470071434416,0.2871882666301272,0,0,H20,20
20,0.2997847749905221,0.203031423741033,0.233854681485387,0.19061057336726972,0.21636531756531027,0.2677511230923829,0.20304067070772777,0.17045118991858935,0.1915507842035677,0.24238887893848796,0,0,H21,21
21,0.22544579374474172,0.17537747394311134,0.19153317926168162,0.16731147862944895,0.17537182855584893,0.20572295212162964,0.18036565691726605,0.1466799642078559,0.16458645026836943,0.19230711088147096,0,0,H22,22
22,0.21169664689469184,0.18184446002200277,0.1910017005165856,0.18083069969540058,0.1978384555957365,0.2072249930363876,0.17327433563008143,0.19215676997465314,0.1866456842435233,0.19990084750051096,0,0,H23,23
23,0.2669687500796968,0.1910965928539997,0.21309177123258569,0.19873261510300014,0.27479200990732106,0.27521305656663414,0.13825199993414058,0.2910941143668477,0.23353051280965323,0.25841369295575134,0,0,H24,24
24,0.21579172848009695,0.21807025485917547,0.22012419162418162,0.1961631763595591,0.1241869445915595,0.17392015809643174,0.28559273123500434,0.001,0.15262573910670027,0.17057068158131428,0,0,H25,25
0,0.22153408970612307,0.15930121508839998,0.15677057387426938,0.26491593812417513,0.17748326156870717,0.20216827892082154,0.20818527753655078,0.265404845746478,0.22243248121902295,0.1745712473564035,1,0,H1,1
1,0.22213742247974083,0.17154423362829124,0.16818306402003633,0.26367809041200485,0.20509169936771826,0.21555396220043044,0.2668045958020792,0.2645750131486329,0.2948136258371335,0.19310410598549624,1,0,H2,2
2,0.3031633329888829,0.30152094669802615,0.304938714108475,0.2875442593712756,0.25184803241827175,0.27817121581870474,0.15443456553699805,0.2862223512133706,0.1109102860417139,0.2774814349316106,1,0,H3,3
3,0.38919239430802527,0.4037338361429328,0.40425066436898943,0.379414062501344,0.40055745268524334,0.3942407498999586,0.39548319621324957,0.37932835640937174,0.3930925819979558,0.4006882966899887,1,0,H4,4
4,0.37812244207379864,0.36194037410638935,0.36440075799083993,0.3744003008514875,0.32178521824466155,0.3511781795827635,0.24186567258950845,0.37333287374461316,0.2062828584512619,0.34403676005350164,1,0,H5,5
5,0.27428116657011614,0.1883021497358311,0.1884223876097332,0.31681746981370706,0.1613701494864634,0.22211796959564548,0.10184421320874905,0.3161075769268122,0.001,0.18403075410140898,1,0,H6,6
6,0.23989364460249316,0.2015880436454574,0.20197185086100494,0.2572557756224273,0.18483614409062032,0.21433363842032888,0.14900711984069742,0.25681299939218855,0.13331690185332418,0.19736857229472415,1,0,H7,7
7,0.26475969312331904,0.3240874987500433,0.3276941571550652,0.2176579616674405,0.2895669583754064,0.27483189737204927,0.2266370701821193,0.21673443969167167,0.1980104030325432,0.3011538872068686,1,0,H8,8
8,0.2073133326645571,0.22041579982413317,0.21856480966129863,0.2096480065289886,0.2508973595637627,0.22813811936892014,0.3116284128087844,0.21045821891812475,0.33866107887525065,0.233922020040072,1,0,H9,9
9,0.38792269578686195,0.4404989385528132,0.4435237272801793,0.3470059188447262,0.41237421779818645,0.39805305835114313,0.3614380920141265,0.3462531628185459,0.3382289148092701,0.4213776841211363,1,0,H10,10
10,0.18333773562998723,0.22494057549860216,0.22625118265868552,0.15617046318599107,0.2182714326598583,0.1989615149473268,0.2084905585547895,0.1559896259658622,0.20376798543834612,0.2174059883959749,1,0,H11,11
11,0.1745200436245931,0.1665841286808584,0.16514916423431808,0.1854030836080495,0.18491129080403082,0.17986478721506333,0.22017908863394534,0.18589149616395784,0.23600871030758866,0.17633332397015977,1,0,H12,12
12,0.2827023166009994,0.27331982585065284,0.2737618098218276,0.28528087361424054,0.2642082890006893,0.27399697500194464,0.24562357170514332,0.28503912385533015,0.2373964669505649,0.26984543639007413,1,0,H13,13
13,0.2082986440303549,0.19889200117558187,0.1998047574234624,0.208624457114837,0.1829976167459883,0.19627143503224193,0.15112684882114208,0.20820218444142002,0.13696185792371188,0.19211440281702233,1,0,H14,14
14,0.20903517495394297,0.23647183057097357,0.23700622998861945,0.19270591704364726,0.23682228141346884,0.22165687278308663,0.23967214736704073,0.19271304248119217,0.24071432918012634,0.2338171696729614,1,0,H15,15
15,0.284347513773852,0.24074462686891013,0.2402837754080599,0.3084296032890776,0.23459710230424885,0.2615599298959147,0.21911893506080965,0.3082694866101724,0.212569068165252,0.2422388357978395,1,0,H16,16
16,0.3813711116503549,0.3789760087547383,0.381963734366987,0.3681983963196448,0.3352720041289408,0.3589510152823785,0.24948923795107508,0.36703541053798056,0.2111695558126619,0.3579230269925868,1,0,H17,17
17,0.35591149483689216,0.377931651764754,0.3781700462603479,0.3437224375096716,0.38095482799159397,0.3673798454390456,0.3886120858779939,0.3438011319543436,0.3918486022368473,0.3771373702697189,1,0,H18,18
18,0.37122166028412035,0.25361963034473395,0.2530467349840159,0.4329501569261593,0.22739474668425813,0.30505324479403145,0.16676006652756648,0.432261621613031,0.14065236128714745,0.2529494285470667,1,0,H19,19
19,0.16764457407615718,0.21034746466592552,0.20642681416959044,0.16509291810568488,0.2792936166814971,0.22067759960974884,0.41769136328048745,0.1669244865935319,0.47918671032401294,0.23955154697144368,1,0,H20,20
20,0.2816817893963131,0.25937694083869217,0.2574050250535867,0.30235346677231856,0.2812206800674153,0.2822225193787411,0.3222426036718349,0.3029366257985529,0.3407652456750234,0.27231970764735064,1,0,H21,21
